wav_path,unit,start,end,type
mfa_chunks/chunk_0.wav,cʷ,0.15,0.23,phone
mfa_chunks/chunk_0.wav,ɪ,0.23,0.32,phone
mfa_chunks/chunk_0.wav,k,0.32,0.38,phone
mfa_chunks/chunk_0.wav,b,0.49,0.52,phone
mfa_chunks/chunk_0.wav,ɹ,0.52,0.57,phone
mfa_chunks/chunk_0.wav,aw,0.57,0.67,phone
mfa_chunks/chunk_0.wav,n,0.67,0.74,phone
mfa_chunks/chunk_0.wav,f,0.74,0.89,phone
mfa_chunks/chunk_0.wav,ɑː,0.89,1.02,phone
mfa_chunks/chunk_0.wav,k,1.02,1.1,phone
mfa_chunks/chunk_0.wav,s,1.1,1.22,phone
mfa_chunks/chunk_0.wav,dʒ,1.27,1.33,phone
mfa_chunks/chunk_0.wav,ɐ,1.33,1.4,phone
mfa_chunks/chunk_0.wav,m,1.4,1.45,phone
mfa_chunks/chunk_0.wav,p,1.45,1.49,phone
mfa_chunks/chunk_0.wav,s,1.49,1.61,phone
mfa_chunks/chunk_0.wav,ow,1.61,1.69,phone
mfa_chunks/chunk_0.wav,v,1.69,1.72,phone
mfa_chunks/chunk_0.wav,ɚ,1.72,1.8,phone
mfa_chunks/chunk_0.wav,d̪,1.8,1.85,phone
mfa_chunks/chunk_0.wav,ə,1.85,1.93,phone
mfa_chunks/chunk_0.wav,l,1.93,2.01,phone
mfa_chunks/chunk_0.wav,ej,2.01,2.14,phone
mfa_chunks/chunk_0.wav,z,2.14,2.24,phone
mfa_chunks/chunk_0.wav,i,2.24,2.29,phone
mfa_chunks/chunk_0.wav,d,2.29,2.37,phone
mfa_chunks/chunk_0.wav,ɑ,2.37,2.57,phone
mfa_chunks/chunk_0.wav,ɡ,2.57,2.7,phone
